WDPAID,NAME,CONTINENT,COUNTRY,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,?,MEAN_VISITATION,SOURCE,NOTES,,,,,,,,,,,,,,
21235,Ischigualasto,South America,Argentina,,,34000,,,,,,,,,,,,,,,,,,,,,,,34000,UNEP-WCMC (2011c),,,,,,,,,,,,,,,
314611,Lake Elizabeth W.R,Oceania,Australia,,,,,,,,,,,,,,,,19,,,,,,,,,,19,Levin et al. (2015),,,,,,,,,,,,,,,
126828,Powers Lookout S.R.,Oceania,Australia,,,,,,,,,,,,,,,,21,,,,,,,,,,21,Levin et al. (2015),,,,,,,,,,,,,,,
311220,Bemm River S.R,Oceania,Australia,,,,,,,,,,,,,,,,38,,,,,,,,,,38,Levin et al. (2015),,,,,,,,,,,,,,,
305940,Corner Inlet,Oceania,Australia,,,,,,,,,,,,,,,,537,,,,,,,,,,537,Levin et al. (2015),,,,,,,,,,,,,,,
314691,Wallenjoe Swamp W.R,Oceania,Australia,,,,,,,,,,,,,,,,1009,,,,,,,,,,1009,Levin et al. (2015),,,,,,,,,,,,,,,
102569,Mount Granya,Oceania,Australia,,,,,,,,,,,,,,,,1023,,,,,,,,,,1023,Levin et al. (2015),,,,,,,,,,,,,,,
311678,Inglewood B.R.,Oceania,Australia,,,,,,,,,,,,,,,,1051,,,,,,,,,,1051,Levin et al. (2015),,,,,,,,,,,,,,,
314862,Bay of Islands Coastal Park,Oceania,Australia,,,,,,,,,,,,,,,,1234,,,,,,,,,,1234,Levin et al. (2015),,,,,,,,,,,,,,,
126996,St Helens,Oceania,Australia,,,,,,,,,,,,,,,,1353,,,,,,,,,,1353,Levin et al. (2015),,,,,,,,,,,,,,,
314605,Lake Connewarre W.R,Oceania,Australia,,,,,,,,,,,,,,,,1457,,,,,,,,,,1457,Levin et al. (2015),,,,,,,,,,,,,,,
305458,French Island,Oceania,Australia,,,,,,,,,,,,,,,,1471,,,,,,,,,,1471,Levin et al. (2015),,,,,,,,,,,,,,,
314616,Lake Goldsmith W.R.,Oceania,Australia,,,,,,,,,,,,,,,,1526,,,,,,,,,,1526,Levin et al. (2015),,,,,,,,,,,,,,,
545,Mount Samaria,Oceania,Australia,,,,,,,,,,,,,,,,1823,,,,,,,,,,1823,Levin et al. (2015),,,,,,,,,,,,,,,
314643,Mansfield Swamp W.R,Oceania,Australia,,,,,,,,,,,,,,,,1866,,,,,,,,,,1866,Levin et al. (2015),,,,,,,,,,,,,,,
44443684,Carlyle Lake,Oceania,Australia,,,,,,,,,,,,,,,,1916,,,,,,,,,,1916,Levin et al. (2015),,,,,,,,,,,,,,,
357130,Rosedale,Oceania,Australia,,,,,,,,,,,,,,,,2612,,,,,,,,,,2612,Levin et al. (2015),,,,,,,,,,,,,,,
314863,Murray - Kulkyne Park,Oceania,Australia,,,,,,,,,,,,,,,,2724,,,,,,,,,,2724,Levin et al. (2015),,,,,,,,,,,,,,,
555543337,Cobboboonee National Park,Oceania,Australia,,,,,,,,,,,,,,,,2999,,,,,,,,,,2999,Levin et al. (2015),,,,,,,,,,,,,,,
541,Coopracambra National Park,Oceania,Australia,,,,,,,,,,,,,,,,2999,,,,,,,,,,2999,Levin et al. (2015),,,,,,,,,,,,,,,
309715,Walls of Jerusalem,Oceania,Australia,,,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,,,,,,,,,,,,,,3000,Balmford et al. (2015),,,,,,,,,,,,,,,
357095,"Reedy Lake, Nagambie W.R",Oceania,Australia,,,,,,,,,,,,,,,,3348,,,,,,,,,,3348,Levin et al. (2015),,,,,,,,,,,,,,,
126627,Mount Beckworth S.R.,Oceania,Australia,,,,,,,,,,,,,,,,3463,,,,,,,,,,3463,Levin et al. (2015),,,,,,,,,,,,,,,
309061,Tyers Park,Oceania,Australia,,,,,,,,,,,,,,,,4414,,,,,,,,,,4414,Levin et al. (2015),,,,,,,,,,,,,,,
311828,Terrick Terrick National Park,Oceania,Australia,,,,,,,,,,,,,,,,4741,,,,,,,,,,4741,Levin et al. (2015),,,,,,,,,,,,,,,
356956,OShannassy River,Oceania,Australia,,,,,,,,,,,,,,,,4766,,,,,,,,,,4766,Levin et al. (2015),,,,,,,,,,,,,,,
146691,Goulburn River,Oceania,Australia,,,,,,,,,,,,,,,,5155,,,,,,,,,,5155,Levin et al. (2015),,,,,,,,,,,,,,,
9506,Cape Nelson,Oceania,Australia,,,,,,,,,,,,,,,,5938,,,,,,,,,,5938,Levin et al. (2015),,,,,,,,,,,,,,,
305444,Ninety Mile Beach,Oceania,Australia,,,,,,,,,,,,,,,,6058,,,,,,,,,,6058,Levin et al. (2015),,,,,,,,,,,,,,,
544,Holey Plains,Oceania,Australia,,,,,,,,,,,,,,,,6762,,,,,,,,,,6762,Levin et al. (2015),,,,,,,,,,,,,,,
314550,Black Swamp (Black Dog Creek) W.R,Oceania,Australia,,,,,,,,,,,,,,,,6911,,,,,,,,,,6911,Levin et al. (2015),,,,,,,,,,,,,,,
529,Wyperfeld National Park,Oceania,Australia,,,,,,,,,,,,,,,,7027,,,,,,,,,,7027,Levin et al. (2015),,,,,,,,,,,,,,,
555599491,Devilbend N.F.R.,Oceania,Australia,,,,,,,,,,,,,,,,7252,,,,,,,,,,7252,Levin et al. (2015),,,,,,,,,,,,,,,
64354,Dergholm,Oceania,Australia,,,,,,,,,,,,,,,,7431,,,,,,,,,,7431,Levin et al. (2015),,,,,,,,,,,,,,,
555548740,Kings Billabong Park,Oceania,Australia,,,,,,,,,,,,,,,,7490,,,,,,,,,,7490,Levin et al. (2015),,,,,,,,,,,,,,,
305358,Nyerimilang Park G.L.R.,Oceania,Australia,,,,,,,,,,,,,,,,7518,,,,,,,,,,7518,Levin et al. (2015),,,,,,,,,,,,,,,
24769,Mount Lawson,Oceania,Australia,,,,,,,,,,,,,,,,8822,,,,,,,,,,8822,Levin et al. (2015),,,,,,,,,,,,,,,
550,Alfred National Park,Oceania,Australia,,,,,,,,,,,,,,,,9619,,,,,,,,,,9619,Levin et al. (2015),,,,,,,,,,,,,,,
24761,Moondarra,Oceania,Australia,,,,,,,,,,,,,,,,11621,,,,,,,,,,11621,Levin et al. (2015),,,,,,,,,,,,,,,
309453,Hartz Mountains,Oceania,Australia,,,,11000,11000,12000,12000,14000,11800,,,,,,,,,,,,,,,,,11966.67,Balmford et al. (2015),,,,,,,,,,,,,,,
24586,Black Range,Oceania,Australia,,,,,,,,,,,,,,,,12928,,,,,,,,,,12928,Levin et al. (2015),,,,,,,,,,,,,,,
311340,Burrowa - Pine Mountain National Park,Oceania,Australia,,,,,,,,,,,,,,,,13347,,,,,,,,,,13347,Levin et al. (2015),,,,,,,,,,,,,,,
555599490,Lake Tyers,Oceania,Australia,,,,,,,,,,,,,,,,15127,,,,,,,,,,15127,Levin et al. (2015),,,,,,,,,,,,,,,
308919,River Murray Reserve,Oceania,Australia,,,,,,,,,,,,,,,,16184,,,,,,,,,,16184,Levin et al. (2015),,,,,,,,,,,,,,,
126839,Purnululu,Oceania,Australia,,,,,17000,,,,,,,,,,,,,,,,,,,,,17000,Buckley (2002),,,,,,,,,,,,,,,
551,Mount Richmond National Park,Oceania,Australia,,,,,,,,,,,,,,,,18947,,,,,,,,,,18947,Levin et al. (2015),,,,,,,,,,,,,,,
309403,Douglas-Apsley,Oceania,Australia,,,21000,21000,,19000,,,,,,,,,,,,,,,,,,,,20333.33,Balmford et al. (2015),,,,,,,,,,,,,,,
64015,Paddys Ranges,Oceania,Australia,,,,,,,,,,,,,,,,21216,,,,,,,,,,21216,Levin et al. (2015),,,,,,,,,,,,,,,
24813,Reef Hills,Oceania,Australia,,,,,,,,,,,,,,,,21470,,,,,,,,,,21470,Levin et al. (2015),,,,,,,,,,,,,,,
127371,Bailey Plain B.R.,Oceania,Australia,,,,,,,,,,,,,,,,22397,,,,,,,,,,22397,Levin et al. (2015),,,,,,,,,,,,,,,
552,Lind National Park,Oceania,Australia,,,,,,,,,,,,,,,,23766,,,,,,,,,,23766,Levin et al. (2015),,,,,,,,,,,,,,,
313660,Stony Creek,Oceania,Australia,,,,,,,,,,,,,,,,24202,,,,,,,,,,24202,Levin et al. (2015),,,,,,,,,,,,,,,
522,Maria Island,Oceania,Australia,,,,,,,,,,,,,,,,,,,21000,23000,23000,31000,,,,24500,https://www.parks.tas.gov.au/file.aspx?id=49373 (accessed 07/08/2019),,,,,,,,,,,,,,,
305439,Point Addis,Oceania,Australia,,,,,,,,,,,,,,,,26427,,,,,,,,,,26427,Levin et al. (2015),,,,,,,,,,,,,,,
305470,Churchill Island,Oceania,Australia,,,,,,,,,,,,,,,,28013,,,,,,,,,,28013,Levin et al. (2015),,,,,,,,,,,,,,,
555599496,Serendip Wetlands Education Facility,Oceania,Australia,,,,,,,,,,,,,,,,28425,,,,,,,,,,28425,Levin et al. (2015),,,,,,,,,,,,,,,
314063,South Bruny,Oceania,Australia,,,,,24000,25000,28000,36000,34000,,,,,,,,,,,,,,,,,29400,Balmford et al. (2015),,,,,,,,,,,,,,,
9508,Mount Worth,Oceania,Australia,,,,,,,,,,,,,,,,30181,,,,,,,,,,30181,Levin et al. (2015),,,,,,,,,,,,,,,
126670,Mount Stanley S.R.,Oceania,Australia,,,,,,,,,,,,,,,,30292,,,,,,,,,,30292,Levin et al. (2015),,,,,,,,,,,,,,,
24767,Mount Eccles National Park,Oceania,Australia,,,,,,,,,,,,,,,,30895,,,,,,,,,,30895,Levin et al. (2015),,,,,,,,,,,,,,,
2695,Langi Ghiran,Oceania,Australia,,,,,,,,,,,,,,,,32540,,,,,,,,,,32540,Levin et al. (2015),,,,,,,,,,,,,,,
24645,Errinundra National Park,Oceania,Australia,,,,,,,,,,,,,,,,32863,,,,,,,,,,32863,Levin et al. (2015),,,,,,,,,,,,,,,
555543620,Sugarloaf,Oceania,Australia,,,,,,,,,,,,,,,,33385,,,,,,,,,,33385,Levin et al. (2015),,,,,,,,,,,,,,,
305460,Discovery Bay,Oceania,Australia,,,,,,,,,,,,,,,,33913,,,,,,,,,,33913,Levin et al. (2015),,,,,,,,,,,,,,,
517,Ben Lomond,Oceania,Australia,,,32000,26200,32000,20000,23000,52000,54000,,,,,,,,,,,,,,,,,34171.43,Balmford et al. (2015),,,,,,,,,,,,,,,
5241,Hastings Caves,Oceania,Australia,,,28000,27000,25000,28000,28000,30000,39000,40000,,37000,,,,,,,39000,46000,46000,46000,39000,,,35571.43,Balmford et al. (2015); https://www.parks.tas.gov.au/file.aspx?id=49373 (accessed 07/08/2019),,,,,,,,,,,,,,,
63144,Mount Buangor,Oceania,Australia,,,,,,,,,,,,,,,,37022,,,,,,,,,,37022,Levin et al. (2015),,,,,,,,,,,,,,,
70967,Bunurong Marine Park,Oceania,Australia,,,,,,,,,,,,,,,,38452,,,,,,,,,,38452,Levin et al. (2015),,,,,,,,,,,,,,,
